Time,Open,High,Low,Close,Volume,Return,FGI
20230723040000,29836,29840,29630,29787.5,822.5355,-0.001625553,54
20230723080000,29787.5,29895,29730,29845.1,386.88113,0.0019336839,54
20230723120000,29845.2,29981.6,29844.5,29908,570.5594,0.0021042172,54
20230723160000,29912,29963.9,29884.7,29892,269.6704,-0.00066862797,54
20230723200000,29892.1,29931.2,29855,29898.5,198.02937,0.00021411646,54
20230724000000,29898.5,30350,29898.4,30090.1,1402.8042,0.006408335,55
20230724040000,30090.1,30143.9,29922.6,30082.8,464.4323,-0.00024256577,55
20230724080000,30082.8,30100,29674,29717.8,1001.29816,-0.012133179,55
20230724120000,29717.8,29870.7,29661.5,29830.1,736.9183,0.0037788404,55
20230724160000,29830.1,29834.4,28950,29269.3,5964.2446,-0.018799763,55
20230724200000,29269.3,29269.3,28866.7,29094.9,3135.4915,-0.0059584747,55
20230725000000,29094.9,29159.6,28999.2,29117.4,992.2984,0.0007733314,50
20230725040000,29116.4,29211.8,29090.2,29177.4,495.96136,0.0020950392,50
20230725080000,29177.4,29185.3,29053.8,29109.7,575.2983,-0.0023203292,50
20230725120000,29109.7,29163.7,29074,29142.6,615.59357,0.001130221,50
20230725160000,29142.9,29282,29121.7,29127.2,701.3605,-0.0005387649,50
20230725200000,29127.3,29344.5,29081,29181,1098.4208,0.0018436044,50
20230726000000,29181.1,29374,29181,29199.8,626.26904,0.0006408659,51
20230726040000,29199.8,29256,29182.9,29226.6,246.54935,0.00091777433,51
20230726080000,29226.7,29410.2,29100,29242.2,877.1668,0.000530337,51
20230726120000,29242.1,29319.3,29190.8,29215.9,632.5128,-0.0008959418,51
20230726160000,29216,29242.1,29163.9,29176.7,387.6866,-0.0013451801,51
20230726200000,29176.8,29360.3,29166.4,29322,1180.4711,0.0049765296,51
20230727000000,29322,29500,29191.5,29401.9,1758.9569,0.0027249297,51
20230727040000,29402,29679,29283.5,29351.1,2551.836,-0.001731188,51
20230727080000,29351.2,29450,29301.2,29408,847.449,0.0019352116,51
20230727120000,29408.1,29500,29377.7,29413,659.3132,0.00016663404,51
20230727160000,29413.1,29566.4,29393.8,29507.4,744.4895,0.003206081,51
20230727200000,29507.4,29507.4,29230.5,29290.3,898.51794,-0.0073574632,51
20230728000000,29290.4,29331.7,29084.7,29161.7,951.22455,-0.004393971,52
20230728040000,29161.8,29238,29131.8,29222.1,253.18379,0.0020677333,52
20230728080000,29222.2,29311.3,29186,29254.4,409.00763,0.0011019422,52
20230728120000,29254.4,29264.6,29133.7,29138.6,653.90344,-0.0039584055,52
20230728160000,29138.7,29243.8,29129.5,29209.3,508.31158,0.0024229484,52
20230728200000,29209.3,29539.6,29207.3,29391.4,1426.743,0.006234302,52
20230729000000,29391.4,29405.6,29198.8,29318.2,943.22003,-0.0024905642,52
20230729040000,29318.2,29366.4,29284.1,29314.8,211.52142,-0.00011591563,52
20230729080000,29314.9,29394.9,29296.6,29372.8,484.87875,0.0019751182,52
20230729120000,29372.9,29407.7,29294.1,29295.4,259.69482,-0.0026384864,52
